id;name;brand;category;price;image
AVphQfSlil;Elite Screens - Spectrum Series 110 Motorized Projector Screen - Black";Elite Screens;Video;276.43;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5271/5271018_sa.jpg
AVpfQfySLJ;Turtle Beach Ear Force Recon 320 7.1 Surround Sound Gaming Headset Pc Refurb;Turtle Beach;Audio;40.77;https://images-na.ssl-images-amazon.com/images/I/81HwaR46RKL._SL1500_.jpg
AVpgNClnLJ;RCA Indoor Digital TV Antenna, Amplified, 40-Mile Range;RCA;Accessories;35.69;http://pisces.bbystatic.com/image2/BestBuy_US/images/products/8280/8280843_sa.jpg
AVtidMFpQM;Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker;Logitech;Audio;44.95;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5193/5193600_sa.jpg
AVpe5iL11c;Kicker 41IK5BT2V2 Amphitheater High-Performance Audio System with Bluetooth, Black;Kicker;Audio;249.95;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4415/4415503_sa.jpg
AV1YHuVaGV;Lumix DMC-G7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm Lens and Accessory Kit (Black);Panasonic;Cameras;1064.97;https://static.bhphoto.com/images/images500x500/panasonic_lumix_dmc_g7_mirrorless_micro_1519767152000_1208931.jpg
AVphtx6Bil;Lumix G 25mm f/1.7 ASPH. Lens;Panasonic;Cameras;198.12;http://pisces.bbystatic.com/image2/BestBuy_US/images/products/5203/5203501_sd.jpg
AVs4jJ0Vnn;MU8000-Series 65-Class HDR UHD Smart LED TV;Samsung;Smart TVs;1599.99;https://images-na.ssl-images-amazon.com/images/I/915nNGep9kL._SL1500_.jpg
AV_Ic1sLYS;Samsung - 65 Class - LED - MU6290 Series - 2160p - Smart - 4K Ultra HD TV with HDR";Samsung;Smart TVs;6999.99;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6202/6202112_rd.jpg
AVqVHlLeQM;Level Active Wireless In-Ear Headphones (Black);Samsung;Audio;99.99;https://static.bhphoto.com/images/images500x500/samsung_eo_bg930cbegus_level_active_wireless_in_ear_1472158218000_1275551.jpg
AWFKEUxkuC;WD - My Book 6TB External USB 3.0 Hard Drive - Black;Western Digital;Computers;169.99;http://s7d1.scene7.com/is/image/officedepot/775321_vw_etz00_1035812338
AVpfHyx-LJ;PA248Q 24 LED Backlit IPS Widescreen Monitor;ASUS;Computers;322.2;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6493/6493388cv13d.jpg
AVs4UxVHU2;Sony - 55 Class - OLED - A1E Series - 2160p - Smart - 4K UHD TV with HDR";Sony;Smart TVs;3499.99;https://images-na.ssl-images-amazon.com/images/I/719hnkyWz5L._SL1500_.jpg
AVrsXyTNv8;Samsung Galaxy Tab S3 Keyboard Cover;Samsung;Computers;119.88;https://images-na.ssl-images-amazon.com/images/I/81WNTXlQEyL._SL1500_.jpg
AVpfqQAtLJ;Alpine KTP-445U Universal Power Pack Amplifier for Use w/ Aftermarket Head Units;Alpine;Audio;149.99;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4769/4769803_ra.jpg
AV1dnwa1gl;SanDisk - Ultra II 960GB Internal SATA Solid State Drive for Laptops;SanDisk;Computers;292.44;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1167/1167009cv11d.jpg
AV1Ym558-j;LG - 65 Class - LED - SJ8500 Series - 2160p - Smart - 4K UHD TV with HDR";LG;Smart TVs;1596.99;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5763/5763433_sd.jpg
AWH8KlPuuC;Samsung 860 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-76E500B/AM);Samsung;Computers;129.99;https://images-na.ssl-images-amazon.com/images/I/91JA5-hAnoL._SL1500_.jpg
AVqVGaYQQM;Details About Razer Blade Laptop 14 Full Hd (i77700hq";Razer;Computers;1679.99;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5753/5753110_sa.jpg
AVpfvKEYil;Details About Sylvania Dual Portable Dvd Player W/ 9inch Widescreen Led Display Refurbished;Sylvania;Video;59.99;http://pisces.bbystatic.com/image2/BestBuy_US/images/products/5171/5171000_sa.jpg
